category,survey_value,survey_label,year,period,period_value,module_code,module_name,csv_code,stata_code,spss_code
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2000,Trimestre 4,4,60,Credito Agropecuario,,,30-Modulo60
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2000,Trimestre 4,4,62,Seguridad y Violencia - Módulo de opinión,,,30-Modulo62
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2001,Nacional,22,3,Educación,,,85-Modulo03
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2001,Nacional,22,4,Salud,,,85-Modulo04
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2001,Nacional,22,5,Empleo e Ingresos,,,85-Modulo05
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2001,Nacional,22,34,Sumarias ( Variables Calculadas ),,,85-Modulo34
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2001,Nacional,22,65,Caracteristicas de la Vivienda,,,85-Modulo65
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2001,Trimestre 4,4,1,Características de la Vivienda y del Hogar,,,52-Modulo01
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2001,Trimestre 4,4,2,Características de los Miembros del Hogar,,,52-Modulo02
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2001,Trimestre 4,4,3,Educación,,,52-Modulo03
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2001,Trimestre 4,4,4,Salud,,,52-Modulo04
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2001,Trimestre 4,4,5,Empleo e Ingresos,,,52-Modulo05
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2001,Trimestre 4,4,7,Gastos en Alimentos y Bebidas (Módulo 601),,,52-Modulo07
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2001,Trimestre 4,4,8,Instituciones Beneficas,,,52-Modulo08
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2001,Trimestre 4,4,9,Mantenimiento de la Vivienda,,,52-Modulo09
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2001,Trimestre 4,4,10,Transportes y Comunicaciones,,,52-Modulo10
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2001,Trimestre 4,4,11,Servicios a la Vivienda,,,52-Modulo11
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2001,Trimestre 4,4,12,"Esparcimiento , Diversion y Servicios de Cultura",,,52-Modulo12
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2001,Trimestre 4,4,13,Vestido y Calzado,,,52-Modulo13
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2001,Trimestre 4,4,14,Otros Gastos en Salud,,,52-Modulo14
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2001,Trimestre 4,4,15,Gastos de Transferencias,,,52-Modulo15
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2001,Trimestre 4,4,16,Muebles y Enseres,,,52-Modulo16
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2001,Trimestre 4,4,17,Otros Bienes y Servicios,,,52-Modulo17
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2001,Trimestre 4,4,18,Equipamiento del Hogar,,,52-Modulo18
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2001,Trimestre 4,4,19,Programas Sociales  (Sólo para el Jefe del Hogar  o Ama de Casa),,,52-Modulo19
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2001,Trimestre 4,4,20,Otras Transacciones  (Sólo para el jefe del hogar),,,52-Modulo20
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2001,Trimestre 4,4,22,Producción Agrícola,,,52-Modulo22
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2001,Trimestre 4,4,23,Subproductos Agricolas,,,52-Modulo23
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2001,Trimestre 4,4,24,Producción Forestal,,,52-Modulo24
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2001,Trimestre 4,4,25,Gastos en Actividades Agricolas y/o Forestales,,,52-Modulo25
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2001,Trimestre 4,4,26,Producción Pecuaria,,,52-Modulo26
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2001,Trimestre 4,4,27,Subproductos Pecuarios,,,52-Modulo27
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2001,Trimestre 4,4,28,Gastos en Actividades Pecuarias,,,52-Modulo28
